,users,time,connected
0,1,0.0,1.0
0,1,10.0,1.0
0,1,20.0,1.0
0,1,30.0,1.0
0,1,40.0,1.0
0,1,50.0,1.0
0,1,60.0,1.0
0,1,70.0,1.0
0,1,80.0,1.0
0,1,90.0,1.0
0,1,100.0,1.0
0,1,106.0,0.0
0,20,0.0,20.0
0,20,10.0,20.0
0,20,20.0,20.0
0,20,30.0,19.0
0,20,40.0,17.0
0,20,50.0,16.0
0,20,60.0,15.0
0,20,70.0,14.0
0,20,80.0,11.0
0,20,90.0,8.0
0,20,100.0,8.0
0,20,110.0,6.0
0,20,120.0,4.0
0,20,130.0,2.0
0,20,140.0,2.0
0,20,150.0,2.0
0,20,160.0,2.0
0,20,170.0,2.0
0,20,180.0,2.0
0,20,190.0,2.0
0,20,200.0,1.0
0,20,210.0,1.0
0,20,220.0,1.0
0,20,230.0,1.0
0,20,240.0,1.0
0,20,250.0,0.0
0,20,251.0,0.0
0,40,0.0,40.0
0,40,10.0,40.0
0,40,20.0,40.0
0,40,30.0,40.0
0,40,40.0,35.0
0,40,50.0,35.0
0,40,60.0,33.0
0,40,70.0,28.0
0,40,80.0,26.0
0,40,90.0,20.0
0,40,100.0,17.0
0,40,110.0,14.0
0,40,120.0,11.0
0,40,130.0,10.0
0,40,140.0,6.0
0,40,150.0,6.0
0,40,160.0,5.0
0,40,170.0,4.0
0,40,180.0,3.0
0,40,190.0,3.0
0,40,200.0,2.0
0,40,210.0,2.0
0,40,220.0,2.0
0,40,230.0,1.0
0,40,240.0,1.0
0,40,250.0,1.0
0,40,260.0,1.0
0,40,270.0,1.0
0,40,280.0,1.0
0,40,289.0,0.0
0,80,0.0,47.0
0,80,10.0,80.0
0,80,20.0,80.0
0,80,30.0,80.0
0,80,40.0,80.0
0,80,50.0,79.0
0,80,60.0,77.0
0,80,70.0,68.0
0,80,80.0,54.0
0,80,90.0,49.0
0,80,100.0,36.0
0,80,110.0,29.0
0,80,120.0,23.0
0,80,130.0,16.0
0,80,140.0,6.0
0,80,150.0,5.0
0,80,160.0,4.0
0,80,170.0,4.0
0,80,180.0,2.0
0,80,190.0,2.0
0,80,200.0,1.0
0,80,210.0,1.0
0,80,220.0,1.0
0,80,230.0,1.0
0,80,240.0,1.0
0,80,250.0,1.0
0,80,260.0,1.0
0,80,270.0,1.0
0,80,280.0,1.0
0,80,290.0,1.0
0,80,300.0,1.0
0,80,310.0,1.0
0,80,316.0,0.0
0,160,0.0,47.0
0,160,10.0,87.0
0,160,20.0,128.0
0,160,30.0,160.0
0,160,40.0,159.0
0,160,50.0,157.0
0,160,60.0,155.0
0,160,70.0,151.0
0,160,80.0,144.0
0,160,90.0,129.0
0,160,100.0,112.0
0,160,110.0,94.0
0,160,120.0,78.0
0,160,130.0,66.0
0,160,140.0,53.0
0,160,150.0,36.0
0,160,160.0,32.0
0,160,170.0,18.0
0,160,180.0,16.0
0,160,190.0,10.0
0,160,200.0,7.0
0,160,210.0,5.0
0,160,220.0,3.0
0,160,230.0,1.0
0,160,240.0,1.0
0,160,250.0,1.0
0,160,260.0,1.0
0,160,270.0,1.0
0,160,278.0,0.0
0,320,0.0,38.0
0,320,10.0,91.0
0,320,20.0,137.0
0,320,30.0,185.0
0,320,40.0,239.0
0,320,50.0,285.0
0,320,60.0,292.0
0,320,70.0,291.0
0,320,80.0,290.0
0,320,90.0,287.0
0,320,100.0,280.0
0,320,110.0,272.0
0,320,120.0,259.0
0,320,130.0,252.0
0,320,140.0,229.0
0,320,150.0,204.0
0,320,160.0,174.0
0,320,170.0,138.0
0,320,180.0,109.0
0,320,190.0,75.0
0,320,200.0,54.0
0,320,210.0,37.0
0,320,220.0,25.0
0,320,230.0,18.0
0,320,240.0,13.0
0,320,250.0,9.0
0,320,260.0,9.0
0,320,270.0,7.0
0,320,280.0,5.0
0,320,290.0,4.0
0,320,300.0,4.0
0,320,310.0,2.0
0,320,320.0,2.0
0,320,330.0,2.0
0,320,340.0,1.0
0,320,350.0,1.0
0,320,357.0,0.0
