,experiment,users,parameter,type,value
0,4_test_mirador_,20,freemem:os_mon@tsung_controller@dariobranco-XPS-15-9520,mean,13146.21
0,4_test_mirador_,20,tr_init_load_page,mean,178.8
0,4_test_mirador_,20,session,mean,47000.0
0,4_test_mirador_,20,connect,mean,37.23
0,4_test_mirador_,20,page,mean,42.599999999999994
0,4_test_mirador_,20,request,mean,23.15
0,4_test_mirador_,20,cpu:os_mon@tsung_controller@dariobranco-XPS-15-9520,mean,11.46
0,4_test_mirador_,20,tr_change_manually_canvas_2,mean,23.91
0,4_test_mirador_,20,tr_zoom,mean,14.399999999999999
0,4_test_mirador_,20,tr_change_manually_canvas,mean,6.6
0,4_test_mirador_,20,load:os_mon@tsung_controller@dariobranco-XPS-15-9520,mean,2.11
0,4_test_mirador_,20,tr_change_canvas,mean,11.4
0,4_test_mirador_,20,load:os_mon@tsung_controller@dariobranco-XPS-15-9520,ratemean,0.1
0,4_test_mirador_,20,tr_change_manually_canvas,ratemean,0.08
0,4_test_mirador_,20,finish_users_count,ratemean,0.08
0,4_test_mirador_,20,tr_change_canvas,ratemean,0.07
0,4_test_mirador_,20,200,ratemean,9.16
0,4_test_mirador_,20,connected,ratemean,-0.08
0,4_test_mirador_,20,tr_zoom,ratemean,0.08
0,4_test_mirador_,20,connect,ratemean,0.29
0,4_test_mirador_,20,tr_change_manually_canvas_2,ratemean,0.08
0,4_test_mirador_,20,cpu:os_mon@tsung_controller@dariobranco-XPS-15-9520,ratemean,0.1
0,4_test_mirador_,20,users,ratemean,0.68
0,4_test_mirador_,20,request,ratemean,9.16
0,4_test_mirador_,20,page,ratemean,0.31
0,4_test_mirador_,20,session,ratemean,0.08
0,4_test_mirador_,20,tr_init_load_page,ratemean,0.01
0,4_test_mirador_,20,freemem:os_mon@tsung_controller@dariobranco-XPS-15-9520,ratemean,0.1
0,4_test_mirador_,20,users_count,ratemean,0.0
0,4_test_mirador_,20,size_rcv_rate,rate,4760535.04
0,4_test_mirador_,20,size_rcv,maxmean,50.18
0,4_test_mirador_,20,size_sent_rate,rate,114636.8
0,4_test_mirador_,20,size_sent,maxmean,1.01
0,4_test_mirador_,40,tr_init_load_page,mean,148.8
0,4_test_mirador_,40,tr_zoom,mean,29.4
0,4_test_mirador_,40,tr_change_manually_canvas,mean,12.0
0,4_test_mirador_,40,freemem:os_mon@tsung_controller@dariobranco-XPS-15-9520,mean,14925.54
0,4_test_mirador_,40,page,mean,55.800000000000004
0,4_test_mirador_,40,cpu:os_mon@tsung_controller@dariobranco-XPS-15-9520,mean,4.95
0,4_test_mirador_,40,connect,mean,37.65
0,4_test_mirador_,40,tr_change_manually_canvas_2,mean,16.200000000000003
0,4_test_mirador_,40,tr_change_canvas,mean,70.19999999999999
0,4_test_mirador_,40,load:os_mon@tsung_controller@dariobranco-XPS-15-9520,mean,1.0
0,4_test_mirador_,40,session,mean,48000.0
0,4_test_mirador_,40,request,mean,30.16
0,4_test_mirador_,40,page,ratemean,0.59
0,4_test_mirador_,40,users_count,ratemean,0.0
0,4_test_mirador_,40,finish_users_count,ratemean,0.14
0,4_test_mirador_,40,freemem:os_mon@tsung_controller@dariobranco-XPS-15-9520,ratemean,0.1
0,4_test_mirador_,40,load:os_mon@tsung_controller@dariobranco-XPS-15-9520,ratemean,0.1
0,4_test_mirador_,40,session,ratemean,0.15
0,4_test_mirador_,40,tr_change_canvas,ratemean,0.13
0,4_test_mirador_,40,request,ratemean,16.85
0,4_test_mirador_,40,cpu:os_mon@tsung_controller@dariobranco-XPS-15-9520,ratemean,0.1
0,4_test_mirador_,40,200,ratemean,16.85
0,4_test_mirador_,40,tr_change_manually_canvas_2,ratemean,0.15
0,4_test_mirador_,40,connect,ratemean,0.57
0,4_test_mirador_,40,users,ratemean,1.34
0,4_test_mirador_,40,connected,ratemean,-0.13
0,4_test_mirador_,40,tr_zoom,ratemean,0.14
0,4_test_mirador_,40,tr_init_load_page,ratemean,0.04
0,4_test_mirador_,40,tr_change_manually_canvas,ratemean,0.14
0,4_test_mirador_,40,size_rcv_rate,rate,7853834.24
0,4_test_mirador_,40,size_rcv,maxmean,100.37
0,4_test_mirador_,40,size_sent_rate,rate,192163.84
0,4_test_mirador_,40,size_sent,maxmean,2.03
0,4_test_mirador_,80,tr_change_manually_canvas,mean,195.6
0,4_test_mirador_,80,tr_change_manually_canvas_2,mean,18.0
0,4_test_mirador_,80,freemem:os_mon@tsung_controller@dariobranco-XPS-15-9520,mean,22666.62
0,4_test_mirador_,80,cpu:os_mon@tsung_controller@dariobranco-XPS-15-9520,mean,4.5
0,4_test_mirador_,80,tr_zoom,mean,315.0
0,4_test_mirador_,80,page,mean,271.8
0,4_test_mirador_,80,request,mean,9.0
0,4_test_mirador_,80,connect,mean,15.600000000000001
0,4_test_mirador_,80,load:os_mon@tsung_controller@dariobranco-XPS-15-9520,mean,0.99
0,4_test_mirador_,80,tr_init_load_page,mean,328.2
0,4_test_mirador_,80,tr_change_canvas,mean,556.1999999999999
0,4_test_mirador_,80,session,mean,48000.0
0,4_test_mirador_,80,connected,ratemean,-0.13
0,4_test_mirador_,80,page,ratemean,1.15
0,4_test_mirador_,80,request,ratemean,33.78
0,4_test_mirador_,80,users_count,ratemean,0.1
0,4_test_mirador_,80,200,ratemean,33.72
0,4_test_mirador_,80,users,ratemean,2.46
0,4_test_mirador_,80,load:os_mon@tsung_controller@dariobranco-XPS-15-9520,ratemean,0.1
0,4_test_mirador_,80,connect,ratemean,2.1
0,4_test_mirador_,80,tr_init_load_page,ratemean,0.16
0,4_test_mirador_,80,tr_change_canvas,ratemean,0.23
0,4_test_mirador_,80,session,ratemean,0.29
0,4_test_mirador_,80,finish_users_count,ratemean,0.25
0,4_test_mirador_,80,error_connect_ehostunreach,ratemean,0.11
0,4_test_mirador_,80,tr_change_manually_canvas,ratemean,0.27
0,4_test_mirador_,80,tr_change_manually_canvas_2,ratemean,0.29
0,4_test_mirador_,80,freemem:os_mon@tsung_controller@dariobranco-XPS-15-9520,ratemean,0.1
0,4_test_mirador_,80,cpu:os_mon@tsung_controller@dariobranco-XPS-15-9520,ratemean,0.1
0,4_test_mirador_,80,error_connection_closed,ratemean,0.08
0,4_test_mirador_,80,tr_zoom,ratemean,0.25
0,4_test_mirador_,80,size_rcv_rate,rate,28447866.88
0,4_test_mirador_,80,size_rcv,maxmean,200.56
0,4_test_mirador_,80,size_sent_rate,rate,471439.36
0,4_test_mirador_,80,size_sent,maxmean,4.05
0,4_test_mirador_,160,cpu:os_mon@tsung_controller@dariobranco-XPS-15-9520,mean,6.99
0,4_test_mirador_,160,tr_zoom,mean,324.0
0,4_test_mirador_,160,tr_init_load_page,mean,763.8000000000001
0,4_test_mirador_,160,tr_change_manually_canvas_2,mean,39.0
0,4_test_mirador_,160,load:os_mon@tsung_controller@dariobranco-XPS-15-9520,mean,1.54
0,4_test_mirador_,160,freemem:os_mon@tsung_controller@dariobranco-XPS-15-9520,mean,20553.31
0,4_test_mirador_,160,tr_change_manually_canvas,mean,107.4
0,4_test_mirador_,160,request,mean,11.4
0,4_test_mirador_,160,session,mean,60000.0
0,4_test_mirador_,160,connect,mean,21.599999999999998
0,4_test_mirador_,160,tr_change_canvas,mean,484.20000000000005
0,4_test_mirador_,160,page,mean,340.2
0,4_test_mirador_,160,freemem:os_mon@tsung_controller@dariobranco-XPS-15-9520,ratemean,0.1
0,4_test_mirador_,160,load:os_mon@tsung_controller@dariobranco-XPS-15-9520,ratemean,0.1
0,4_test_mirador_,160,page,ratemean,2.76
0,4_test_mirador_,160,tr_change_canvas,ratemean,0.57
0,4_test_mirador_,160,users_count,ratemean,0.4
0,4_test_mirador_,160,error_connection_closed,ratemean,0.1
0,4_test_mirador_,160,connect,ratemean,5.9
0,4_test_mirador_,160,session,ratemean,0.64
0,4_test_mirador_,160,request,ratemean,83.07
0,4_test_mirador_,160,tr_change_manually_canvas,ratemean,0.59
0,4_test_mirador_,160,error_connect_ehostunreach,ratemean,0.1
0,4_test_mirador_,160,200,ratemean,83.04
0,4_test_mirador_,160,tr_zoom,ratemean,0.57
0,4_test_mirador_,160,cpu:os_mon@tsung_controller@dariobranco-XPS-15-9520,ratemean,0.1
0,4_test_mirador_,160,error_connect_closed,ratemean,0.0
